,Name,Price,Product Link,Image
29,Maniac,367,https://www.amazon.in/Maniac-Fullsleeve-Printed-T-Shirt-Charcoal/dp/B07B2VVHNT?dchild=1,https://m.media-amazon.com/images/I/81jkcAeu1jL._AC_UL320_.jpg
30,Wrath,419,https://www.amazon.in/Wrath-Effortless-Triple-Blocked-T-Shirt/dp/B07RNM4SRD?dchild=1,https://m.media-amazon.com/images/I/61CHH37iR8L._AC_UL320_.jpg
31,Veirdo,299,https://www.amazon.in/Veirdo-Cotton-Tshirt-Large-White/dp/B07MXJVN7W?dchild=1,https://m.media-amazon.com/images/I/71+0SFJJFfL._AC_UL320_.jpg
32,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-I633-003-PL_Grey-Melange_Medium/dp/B0793NHDYQ?dchild=1,https://m.media-amazon.com/images/I/61M8oKBUTxL._AC_UL320_.jpg
33,Black Collection,579,https://www.amazon.in/Black-Collection-Plain-T-Shirt-BCSA0002_Black_M/dp/B00WQO2DGC?dchild=1,https://m.media-amazon.com/images/I/61cuO5SabwL._AC_UL320_.jpg
34,Maniac,364,https://www.amazon.in/Maniac-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B8%E0%A5%8D%E0%A4%B2%E0%A5%80%E0%A4%B5-%E0%A4%95%E0%A5%89%E0%A4%9F%E0%A4%A8-%E0%A4%9F%E0%A5%80-%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%9F/dp/B07B6RLJMJ?dchild=1,https://m.media-amazon.com/images/I/81VoHI-qYYL._AC_UL320_.jpg
35,Maniac,322,https://www.amazon.in/Maniac-Stripes-Fullsleeve-Raglan-T-Shirt/dp/B07MGZ256L?dchild=1,https://m.media-amazon.com/images/I/6148RTfghOL._AC_UL320_.jpg
36,Deniklo,419,https://www.amazon.in/Deniklo-Solid-Regular-DK14-M_Navy-Blue_M/dp/B07T9GHL64?dchild=1,https://m.media-amazon.com/images/I/81GfMQ5fggL._AC_UL320_.jpg
37,Van Heusen,663,https://www.amazon.in/Van-Heusen-Solid-Regular-VSKP517S011421_Cream_Large/dp/B076CKDCJP?dchild=1,https://m.media-amazon.com/images/I/81X3jV2xa3L._AC_UL320_.jpg
38,fanideaz,637,https://www.amazon.in/fanideaz-Mens-Cotton-T-Shirts-GY_XL/dp/B0855CGJY5?dchild=1,https://m.media-amazon.com/images/I/61qRM+JEgQL._AC_UL320_.jpg
39,US Polo Association,499,https://www.amazon.in/U-S-Polo-Assn-Regular-I638-195-PL_Navy_Medium/dp/B0793KC76J?dchild=1,https://m.media-amazon.com/images/I/81qHzf51R6L._AC_UL320_.jpg
40,Veirdo,299,https://www.amazon.in/Veirdo-Cotton-T-Shirt-Casual-Military/dp/B079HRBNCW?dchild=1,https://m.media-amazon.com/images/I/71BmPL0Nk2L._AC_UL320_.jpg
41,Maniac,414,https://www.amazon.in/Maniac-MenS-Cotton-Polo-300034-M_White_Medium/dp/B00YUNGT94?dchild=1,https://m.media-amazon.com/images/I/91X79hWEsAL._AC_UL320_.jpg
42,United Colors of Benetton,549,https://www.amazon.in/United-Colors-Benetton-Regular-19A3C78J3007I_101_L_White_L/dp/B07QG5KKPV?dchild=1,https://m.media-amazon.com/images/I/71lI6j1828L._AC_UL320_.jpg
